user_id,movie_id,rating,timestamp
52,12,2,1692057628
93,26,1,1673823165
15,16,4,1627259197
72,37,3,1647784180
61,22,2,1647379179
21,29,1,1610760888
83,14,5,1678414095
87,28,4,1693144811
75,5,2,1665856750
75,47,2,1678483721
88,49,3,1649464216
100,30,3,1664884070
24,46,5,1696719187
3,5,5,1680884100
22,12,1,1658075712
53,16,1,1686015965
2,26,5,1614372528
88,26,5,1671829506
30,48,4,1646695565
38,21,3,1667658103
2,39,1,1625722525
64,36,3,1638963185
60,33,3,1664674115
21,30,5,1663813565
33,37,4,1646571160
76,23,2,1676767936
58,10,4,1617562548
22,5,4,1681485805
89,36,3,1659488206
49,34,4,1692441160
91,31,1,1667506574
59,10,3,1640057648
42,19,1,1671425912
92,32,2,1681242298
60,1,3,1653520377
80,5,2,1671894820
15,45,3,1621882940
62,4,5,1638580196
62,16,4,1648665285
47,24,5,1658327846
62,16,2,1617687991
51,2,4,1639509310
55,49,3,1631061293
64,28,4,1630272855
3,32,1,1684445004
51,27,4,1687767265
7,20,1,1646316696
21,24,4,1696287283
73,12,1,1610679043
39,50,2,1655498298
18,35,5,1622470291
4,33,3,1650763061
89,33,4,1660072820
60,43,5,1677921522
14,37,3,1654496748
9,12,3,1651195209
90,3,1,1667411050
53,1,2,1687093473
2,33,2,1639043896
84,40,5,1607456985
92,10,2,1623544744
60,43,4,1684912633
71,44,2,1658865527
44,29,5,1627381509
8,13,2,1683836420
47,12,4,1620521013
35,31,1,1601514542
78,46,5,1637735088
81,2,1,1678427656
36,50,1,1692351586
50,35,1,1615135763
4,23,3,1675785788
2,17,3,1643951994
6,26,1,1691233769
54,8,5,1665489314
4,29,4,1635383985
54,26,4,1696363345
93,10,2,1636595773
63,26,5,1696362498
18,34,3,1614315679
90,41,1,1624440805
44,7,2,1621765239
34,4,4,1624586222
74,50,3,1615527000
62,45,3,1685561923
100,11,1,1675532173
14,29,4,1670337892
95,36,5,1685607690
48,25,3,1610569320
15,21,1,1669448631
72,36,5,1667001666
78,10,4,1698609786
87,37,3,1619391451
62,9,5,1634045468
40,24,5,1659047560
85,35,5,1656378562
80,49,3,1677960088
82,35,3,1636264673
53,48,2,1678931275
24,36,4,1617920169
26,18,1,1671087566
89,49,5,1684212996
60,39,2,1670706570
41,32,1,1600605409
29,24,2,1609462743
15,23,3,1611377787
45,32,5,1621827621
65,37,1,1641892167
89,12,1,1635280122
71,49,1,1620057988
9,13,1,1675306159
88,23,1,1605809041
1,25,2,1679655365
8,35,5,1606155579
88,41,3,1667511983
63,30,3,1683665691
11,17,3,1658544068
81,49,3,1697604556
8,20,2,1632027216
35,48,4,1633957164
35,25,5,1650837727
33,22,1,1669058877
5,13,4,1601132658
41,19,3,1652316857
28,49,4,1637877058
7,36,5,1617434167
73,12,1,1625177127
72,41,1,1693484897
12,19,5,1653811239
34,12,5,1613881178
33,9,3,1689089996
48,7,1,1673135852
23,28,4,1665111328
62,14,2,1615590661
88,31,2,1691312343
37,19,5,1669475474
99,47,3,1609456807
44,16,2,1629342048
86,5,1,1604684346
91,35,5,1617824559
35,12,4,1689605800
65,25,5,1692379916
99,21,4,1685641772
47,36,5,1642827096
78,23,5,1651900771
3,16,5,1649352346
1,39,4,1611667877
5,45,4,1607393979
90,42,5,1610115078
14,39,2,1628506244
27,14,3,1625214698
9,31,3,1617486878
79,5,3,1657195030
15,35,4,1622098345
90,23,4,1616620937
42,29,2,1631984287
77,43,3,1697147242
51,11,3,1642413492
63,18,5,1610528294
96,47,4,1619369886
52,12,3,1604810833
96,9,2,1623480675
4,10,2,1684328141
94,44,3,1628500556
23,17,4,1632073692
15,38,2,1637316107
43,7,5,1627427110
29,46,2,1624192961
36,13,1,1624859871
13,40,1,1692763660
32,42,4,1699544109
71,9,3,1659844250
59,50,4,1653412976
86,27,4,1629263888
28,2,4,1694892391
66,5,4,1642106078
42,29,5,1607281505
45,37,5,1638679227
62,38,2,1638965695
57,19,1,1637518167
6,8,4,1626540396
28,48,2,1614812143
28,45,1,1656825157
44,1,3,1608989138
84,22,5,1647364509
30,17,1,1679146438
62,7,3,1643020873
75,25,1,1673663899
92,45,5,1632735803
89,4,5,1699846478
62,36,2,1615886372
97,6,4,1637622748
1,31,1,1632456981
27,19,1,1675176851
62,44,3,1601656671
77,39,5,1689567715
3,27,1,1622922481
70,10,5,1642081603
72,26,1,1684669146
27,19,2,1643497663
9,39,4,1688785936
62,3,1,1690126859
37,45,5,1620833173
97,13,2,1690503568
51,50,1,1684483977
44,28,3,1620718453
24,20,4,1609161408
79,28,1,1652374647
59,8,2,1662242810
32,41,3,1637214417
96,39,2,1691905293
88,1,2,1620353727
52,3,3,1685050030
62,13,2,1600549148
58,28,3,1636328139
52,49,1,1696953082
12,25,3,1621845218
39,33,3,1602773939
2,38,4,1635490172
3,6,3,1636989387
56,44,3,1613426716
81,45,1,1695019914
59,32,4,1638710304
2,45,5,1647718021
2,47,1,1685440590
92,21,1,1626996639
54,16,5,1687649202
87,21,3,1610774986
96,11,2,1604421590
97,37,4,1636089369
1,36,2,1611546081
19,35,5,1629221379
2,19,1,1685604304
53,20,1,1636265058
44,18,4,1659644300
90,47,1,1644924392
32,41,1,1631670310
70,49,4,1658237814
32,14,4,1657641756
68,15,5,1626552476
55,31,1,1673548874
75,1,1,1608674163
56,3,5,1685388417
17,16,3,1698023086
38,23,3,1648548947
24,11,3,1627209162
69,12,5,1699898906
98,10,1,1657396048
70,32,5,1600224695
86,16,5,1653773276
11,8,3,1626267668
16,38,2,1614063918
97,12,1,1657884623
73,24,3,1658454884
59,28,2,1658093498
70,8,2,1697042181
80,28,4,1643353746
93,36,1,1620610500
3,26,2,1665402242
20,8,3,1613245696
59,50,4,1635402297
36,28,1,1682030459
19,28,5,1624363941
90,37,3,1648123406
67,41,2,1655229602
19,36,2,1601074961
20,27,3,1688511758
96,17,2,1611950571
71,9,4,1619155151
52,33,1,1651465754
33,20,4,1612866619
40,13,2,1669583832
39,28,5,1689858638
82,48,1,1669551130
1,29,1,1604437677
11,13,3,1647347699
92,46,3,1676716230
57,35,5,1605241218
89,6,1,1666777436
50,18,5,1626821567
23,5,3,1655482283
31,47,3,1605481140
94,25,1,1623991831
42,2,4,1662697275
99,10,2,1698356098
7,30,3,1665658413
16,50,3,1654856856
90,45,4,1605290717
60,5,4,1619659206
2,33,5,1600797968
1,1,5,1658224509
48,18,2,1655940773
12,32,2,1629163439
69,47,1,1698116600
37,49,5,1619651515
32,11,3,1607339838
9,21,5,1683629045
99,26,3,1657661940
19,25,4,1681576052
48,22,5,1670047063
80,27,4,1667007551
3,49,2,1676107468
20,13,2,1649909831
24,33,1,1642721553
54,34,5,1675134271
33,41,4,1688240465
24,35,3,1648055661
75,1,2,1625554414
72,21,2,1626931806
36,48,3,1613476005
38,6,4,1644721695
84,28,4,1603151882
99,17,5,1632134444
89,5,5,1630319320
99,31,1,1670318880
25,5,2,1665062907
93,38,5,1606737320
18,3,4,1635943815
82,23,3,1623773962
66,37,4,1650495701
54,37,2,1648018519
35,10,4,1689859624
80,10,1,1638836811
61,19,2,1676934008
41,17,3,1636097069
100,21,1,1675142815
33,14,2,1678888398
68,9,3,1658438965
33,46,1,1698138203
14,1,1,1664274067
21,45,2,1609734816
48,13,5,1641965471
20,4,1,1616052465
8,1,1,1659963387
7,49,3,1642590048
67,40,4,1676070913
17,32,2,1612851424
33,34,2,1632356072
48,28,5,1629536204
76,31,5,1685936029
59,8,2,1608388512
86,39,5,1651599948
22,26,3,1669056627
30,34,2,1660350105
38,3,5,1694159765
51,50,2,1641208934
54,12,4,1633138881
8,1,1,1637436581
27,44,2,1621650278
27,5,1,1657376857
98,30,5,1608439469
21,30,1,1624455289
30,17,2,1683050481
97,48,4,1638400142
28,47,5,1654332385
64,23,2,1642664041
97,15,5,1648243574
69,37,3,1660711339
61,21,1,1646462256
48,14,3,1660344167
19,2,2,1649092554
4,11,4,1681500098
35,39,5,1691144826
64,38,1,1601443717
49,34,5,1604409352
17,38,2,1698159688
44,50,5,1688997222
92,34,1,1682438366
30,18,2,1643148703
93,30,5,1675530792
46,15,4,1692601713
6,27,2,1642307399
99,34,2,1601308507
37,38,4,1687952701
24,33,3,1609331795
93,24,1,1679491182
46,15,3,1609986298
53,30,5,1667209598
95,42,4,1675655174
99,17,3,1619628490
60,5,2,1685111891
97,29,5,1693421775
63,4,5,1670189955
85,10,3,1616002437
32,17,3,1620606265
87,10,4,1611091989
33,17,1,1663644057
67,20,3,1652200318
18,24,3,1679790594
25,5,2,1640819838
95,34,5,1633283771
54,6,1,1655145321
58,2,2,1604755469
67,13,4,1682162634
46,43,4,1626098641
24,43,3,1614150540
32,48,3,1645221400
47,11,4,1694455026
86,47,3,1601992825
23,23,1,1670941842
66,16,3,1630559798
27,31,5,1606152941
2,11,3,1636286070
90,16,2,1610556086
17,8,1,1653307679
33,4,2,1623289643
9,40,2,1689597893
43,4,5,1601940369
48,25,1,1641681557
39,3,1,1685103140
93,32,1,1648226615
42,3,1,1625955176
26,27,1,1681718171
99,29,5,1651721929
50,32,3,1607778748
25,50,2,1641654364
24,19,1,1652182965
13,21,3,1669055694
60,5,3,1632997728
7,18,2,1677066032
57,28,5,1699989204
36,42,4,1636159646
45,22,4,1641478073
20,21,3,1610717207
65,6,2,1682649491
8,1,4,1616169764
16,5,3,1609384451
14,41,5,1671297755
76,12,4,1676123517
87,26,3,1681173011
15,46,3,1620808635
92,34,1,1638049943
98,49,5,1651756593
66,14,1,1699993264
32,26,2,1660111794
87,45,1,1669472863
63,27,1,1604790691
86,9,4,1627950196
51,26,3,1688111969
25,47,5,1676961279
58,22,1,1653423843
63,47,5,1617066318
62,30,1,1650277283
22,43,2,1666447109
58,48,1,1611186361
58,17,4,1626256629
86,26,3,1666146940
49,36,2,1699480843
52,1,1,1637998210
42,8,5,1628175911
70,49,2,1661688718
15,35,2,1673195232
54,15,1,1628207970
60,47,2,1611950831
97,22,5,1634812381
8,14,2,1632386345
53,26,5,1680716715
60,28,1,1611360589
5,23,3,1654181889
68,14,2,1629124900
6,24,3,1645677380
96,2,5,1628487589
94,45,2,1615648245
47,26,4,1633523310
99,14,3,1663640055
55,7,2,1672648934
40,3,3,1666500568
52,47,2,1627364435
16,23,1,1606491878
13,46,3,1631241029
30,43,4,1669069690
19,47,4,1602844664
17,45,5,1634932801
63,18,2,1661144226
19,38,3,1602090212
92,35,5,1638785284
58,15,3,1654503422
55,25,2,1621320139
90,37,4,1625227191
90,28,1,1693028003
62,10,4,1604600108
23,39,5,1678502806
9,17,1,1669963054
12,39,5,1668393246
1,22,2,1674304906
58,26,1,1637407753
1,44,5,1647230658
34,25,2,1619432053
96,17,4,1658016013
48,13,2,1678981711
89,20,3,1684928457
1,25,2,1648436828
16,4,2,1656437579
61,10,3,1670366045
64,3,5,1689148776
63,41,5,1651255428
69,45,2,1647602635
22,18,3,1682795008
93,47,3,1610856760
67,36,4,1646350911
